
2024/06/12 (10:07:35) | ===> btop++ v.1.3.2
2024/06/12 (10:07:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/20 (10:55:42) | ===> btop++ v.1.3.2
2024/07/20 (10:55:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/20 (16:02:34) | ===> btop++ v.1.3.2
2024/07/20 (16:02:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/27 (14:13:18) | ===> btop++ v.1.3.2
2024/07/27 (14:13:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/29 (20:34:53) | ===> btop++ v.1.3.2
2024/07/29 (20:34:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/22 (14:31:38) | ===> btop++ v.1.3.2
2024/09/22 (14:31:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/25 (16:21:24) | ===> btop++ v.1.4.0
2024/09/25 (16:21:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/29 (09:34:06) | ===> btop++ v.1.4.0
2024/11/29 (09:34:06) | WARNING: Failed to set locale UTF-8 continuing anyway.
